337,"BREVE HISTORIA DE LA CULTURA EN EL PARAGUAY","Vel?zquez, Rafael",
338,"ARQUITECTURA DE COMPUTADORES","Mano, Moriso",
339,"PRINCIPIOS DE ELECTRONICA",MALVINO,
340,"Curso de Electromagnetismo","M Bisceglia - E Zubcov","JC Fernandez"
341,"INSTRUMENTACION ELECTRONICA MODERNA Y TECNICAS DE","HELFRICK, ALBERT D.","COOPER, WILLIAM D."
342,"EJERCICIOS Y PROBLEMAS DE ALGEBRA LINEAL",Rojo,Mart?n
343,"FISICA CONCEPTOS Y APLICACIONES","Tippens, Paul",
344,"QUIMICA: LA CIENCIA CENTRAL","Brown - LeMay",Bursten
345,"FISICA UNIVERSITARIA",Sears,"Zemansky - Young"
346,"CONTABILIDAD 1","Aguayo Caballero, Paulino",
347,"INGENIERIA DEL SOFTWARE. UN ENFOQUE PRACTICO","Pressman, Roger S.",
348,ESTADISTICA,SPIEGEL,
349,"CALCULO SUPERIOR","Murray R. Spiegel",
350,"FUNDAMENTOS DE LA TEORIA ELECTROMAGNETICA                                                           ","Reitz; Milford                                                                                      ","Christy                                                                                             "
351,"FUNDAMENTOS DE ELECTRICIDAD Y MAGNETISMO                                                            ","Kip                                                                                                 ","                                                                                                    "
352,"INTRODUCCION A LA TERMODINAMICA EN INGENIERIA QCA.                                                  ","Smith; Van                                                                                          ","Ness                                                                                                "
353,"MAQUINAS ELECTRICAS                                                                                 ","Fitzgerald; Kingsley                                                                                ","Stephen;                                                                                            "
354,"INGENIERIA Y ADMINISTRACION DE LA PRODUCTIVIDAD                                                     ","Sumanth                                                                                             ","                                                                                                    "
355,"COMUNICACION - ESTUDIO DEL LENGUAJE",Fuentes,
356,"C?digo Civil Paraguayo Comentado","Miguel Angel Pangrazio",
357,"COMO HACER UNA TESIS?",Mercado,
358,"Analisis de Sistemas Electricos de Potencia                                                         ","Stevenson                                                                                           ","                                                                                                    "
359,"PRINCIPIOS DE ELECTRONICA",MALVINO,
360,"FUNDAMENTOS DE ELECTRICIDAD Y MAGNETISMO",Kip,
361,"MAQUINAS ELECTRICAS Y TRANSFORMADORES",Kosow,
362,ELECTROMAGNETISMO,Edminister,
363,"PERSONAL NET WARE","Gaskin, James E.",
364,"FUNDAMENTOS DE ELECTRICIDAD Y MAGNETISMO",Kip,
365,"PRINCIPIOS DE ELECTRONICA","MALVINO, ALBERT PAUL",
366,ECONOMIA,Samuelson,Nordhaus
367,"MAQUINAS ELECTRICAS Y TRANSFORMADORES                                                               ","Kosow                                                                                               ","                                                                                                    "
368,"PRINCIPIOS DE ELECTRONICA","MALVINO, ALBERT PAUL",
