"236","IBM SISTEMAL/3 RPG II - MANUAL DE CONSULTA","Internat Machines Corporation",,"1"
"237","ESTRUCTURA DE LA INFORMACION: ORGAN. DE FICHEROS","Mu?oz L?pez",,"1"
"238","INTRODUCCION A LA INVESTIGHACION DE OPERACIONES","Hillier","Lieberman","1"
"239","COMUNICACION ORAL Y ESCRITA","Mart?nez- S?nchez","Artecona- Salomoni","1"
"240","LA LITERATURA PARAGUAYA COMO EXPRESION DE LA REALI","Vallejos",,"1"
"241","MANUAL DE INSTRUMENTOS DE MEDIDAS ELETRONICAS","RUIZ VASSALLO, FRANCISCO",,"1"
"242","ECONOMIA","LARROULET","MOCHON","1"
"243","CONTROL DE UN SISTEMA DOM?TICO Y SUPERVISI?N DE CONSUMO ENERG?TICO MEDIANTE SERVIDOR Y APLICACI?N ANDROID","Cristhian David Ben?tez Esp?nola.","Cristian Eduardo Olmedo Avalos",
"244","INTRODUCAO A PROTECAO DOS SISTEMAS ELETR","CAMINHA, AMADEU C.",,"1"
"245","CONTROL DE UN SISTEMA DOM?TICO Y SUPERVISI?N DE CONSUMO ENERG?TICO MEDIANTE SERVIDOR Y APLICACI?N ANDROID","Cristhian David Ben?tez Esp?nola.","Cristian Eduardo Olmedo Avalos",
"246","SISTEMA INFORM?TICO GANADERO (SIG)","Ismenia Mar?a P?rez G?mez",,
"247","ECUACIONES DIFERENCIALES - TEORIA Y PROBLEMAS","Ayres",,"1"
"248","GEOMETRIA ANALITICA","Fuller","Tarwater","1"
"249","INSTRUMENTACION ELECTRONICA MODERNA Y TECNICAS DE","Cooper","Helfrick","1"
"251","INSTALACIONES ELECTRICAS DE BAJA TENSION","Narciso Moreno Alfonso.","Ramon Cano Gonzalez.","1"
"252","GEOMETRIA ANALITICA","Kindle",,"1"
"253","INGENIERIA DEL SOFTWARE - UN ENFOQUE PRACTICO","Pressman",,"4"
"254","MATEMATICAS ESPECIALES PARA COMPUTACION","Jose L. Garc?a V.",,"1"
"255","ESTRUCTURA DE LA INFORMACION: ORGAN. DE FICHEROS","Mu?oz L?pez",,"1"
